problem_class,dataset_name,fold,best_eta,best_eta_iter,ce_te,acc_te
classification,breast-cancer-wisconsin,1,0.0001,198,28.116915788034667,0.9787234042553191
classification,breast-cancer-wisconsin,2,0.0001,198,40.18723166150956,0.9424460431654677
classification,breast-cancer-wisconsin,3,0.0001,198,15.449252433344764,0.9784172661870504
classification,breast-cancer-wisconsin,4,0.0001,198,29.991033405270322,0.9712230215827338
classification,breast-cancer-wisconsin,5,0.0001,198,22.754181224891926,0.9787234042553191
