problem_class,dataset_name,fold,best_eta,best_eta_iter,ce_te,acc_te
classification,car,1,0.001,499,259.3511602862703,0.8304597701149425
classification,car,2,0.001,499,258.9679517972353,0.8313953488372093
classification,car,3,0.001,499,285.33671211217813,0.811046511627907
classification,car,4,0.001,499,255.73438337617128,0.8284883720930233
classification,car,5,0.001,499,259.52586933283123,0.8333333333333334
