,dataset_name,fold,mse_te,best_eta
0,abalone,1,4.718397050425124,0.001
1,abalone,2,5.638370498661378,0.001
2,abalone,3,4.658118287429463,0.001
3,abalone,4,4.8449070461651,0.001
4,abalone,5,5.011701409698067,0.001
