,dataset_name,fold,mse_te,best_eta
0,machine,1,2487.9679965069013,0.01
1,machine,2,2527.9610294376757,0.01
2,machine,3,3568.903487116588,0.01
3,machine,4,11467.678568505142,0.01
4,machine,5,6139.518181357669,0.01
