dataset_name,fold,mse_te,best_eta
machine,1,2529.2047364671785,0.01
machine,2,1586.170682824506,0.01
machine,3,3650.7952870974464,0.01
machine,4,12723.281924799396,0.01
machine,5,5445.678432552753,0.01
