fold,run,eta,h1,h2,ce_te,acc_te
1,0,0.4,4.0,2.0,,0.6524822695035462
1,1,0.4,4.0,2.0,6172.427241559679,0.6524822695035462
1,2,0.4,4.0,2.0,,0.6524822695035462
1,3,0.4,4.0,2.0,2159.2067855451423,0.6524822695035462
1,4,0.4,4.0,2.0,,0.6524822695035462
1,5,0.4,4.0,2.0,,0.6524822695035462
1,6,0.4,4.0,2.0,1610.406818613325,0.6524822695035462
1,7,0.4,4.0,2.0,,0.6524822695035462
1,8,0.4,4.0,2.0,,0.6524822695035462
1,9,0.4,4.0,2.0,1061.613689185066,0.6524822695035462
1,10,0.4,4.0,2.0,,0.6524822695035462
1,11,0.4,4.0,2.0,,0.6524822695035462
1,12,0.4,4.0,2.0,514.6621583096367,0.6524822695035462
1,13,0.4,4.0,2.0,,0.6524822695035462
1,14,0.4,4.0,2.0,,0.6524822695035462
1,15,0.4,4.0,2.0,182.20942571386234,0.6524822695035462
1,16,0.4,4.0,2.0,314.1453531213748,0.6524822695035462
1,17,0.4,4.0,2.0,,0.6524822695035462
1,18,0.4,4.0,2.0,,0.6524822695035462
1,19,0.4,4.0,2.0,558.7299476352767,0.6524822695035462
1,20,0.4,4.0,2.0,,0.6524822695035462
1,21,0.4,4.0,2.0,,0.6524822695035462
1,22,0.4,4.0,2.0,246.55848951589593,0.6524822695035462
1,23,0.4,4.0,2.0,,0.6524822695035462
1,24,0.4,4.0,2.0,,0.6524822695035462
1,25,0.4,4.0,2.0,1391.1314495947743,0.6524822695035462
1,26,0.4,4.0,2.0,,0.6524822695035462
1,27,0.4,4.0,2.0,,0.6524822695035462
1,28,0.4,4.0,2.0,842.5146718593986,0.6524822695035462
1,29,0.4,4.0,2.0,,0.6524822695035462
1,30,0.4,4.0,2.0,,0.6524822695035462
1,31,0.4,4.0,2.0,333.4281762791163,0.6524822695035462
1,32,0.4,4.0,2.0,7468.547890213769,0.6524822695035462
1,33,0.4,4.0,2.0,,0.6524822695035462
2,0,0.4,4.0,2.0,,0.6546762589928058
2,1,0.4,4.0,2.0,6120.636914900806,0.6546762589928058
2,2,0.4,4.0,2.0,,0.6546762589928058
2,3,0.4,4.0,2.0,2110.395615348687,0.6546762589928058
2,4,0.4,4.0,2.0,,0.6546762589928058
2,5,0.4,4.0,2.0,,0.6546762589928058
2,6,0.4,4.0,2.0,1534.3956395783089,0.6546762589928058
2,7,0.4,4.0,2.0,,0.6546762589928058
2,8,0.4,4.0,2.0,,0.6546762589928058
2,9,0.4,4.0,2.0,958.4106050482746,0.6546762589928058
2,10,0.4,4.0,2.0,,0.6546762589928058
2,11,0.4,4.0,2.0,,0.6546762589928058
2,12,0.4,4.0,2.0,388.3540194805555,0.6546762589928058
2,13,0.4,4.0,2.0,,0.6546762589928058
2,14,0.4,4.0,2.0,,0.6546762589928058
2,15,0.4,4.0,2.0,193.93574887515155,0.6546762589928058
2,16,0.4,4.0,2.0,3672.89617076697,0.6546762589928058
2,17,0.4,4.0,2.0,,0.6546762589928058
2,18,0.4,4.0,2.0,3399.6838205592608,0.6546762589928058
2,19,0.4,4.0,2.0,4765.966390701301,0.6546762589928058
2,20,0.4,4.0,2.0,,0.6546762589928058
2,21,0.4,4.0,2.0,2823.6822804686517,0.6546762589928058
2,22,0.4,4.0,2.0,5857.968895799029,0.6546762589928058
2,23,0.4,4.0,2.0,,0.6546762589928058
2,24,0.4,4.0,2.0,2247.6826927946568,0.6546762589928058
2,25,0.4,4.0,2.0,6949.922833724754,0.6546762589928058
2,26,0.4,4.0,2.0,,0.6546762589928058
2,27,0.4,4.0,2.0,1671.850427136531,0.6546762589928058
2,28,0.4,4.0,2.0,8026.07671124607,0.6546762589928058
2,29,0.4,4.0,2.0,,0.6546762589928058
2,30,0.4,4.0,2.0,1146.512308562485,0.6546762589928058
2,31,0.4,4.0,2.0,,0.6546762589928058
2,32,0.4,4.0,2.0,,0.6546762589928058
2,33,0.4,4.0,2.0,,0.6546762589928058
3,0,0.4,4.0,2.0,,0.6546762589928058
3,1,0.4,4.0,2.0,6134.428467372872,0.6546762589928058
3,2,0.4,4.0,2.0,,0.6546762589928058
3,3,0.4,4.0,2.0,2103.9738341436887,0.6546762589928058
3,4,0.4,4.0,2.0,,0.6546762589928058
3,5,0.4,4.0,2.0,,0.6546762589928058
