problem_class,dataset_name,fold,mse_te,best_eta
regression,forestfires,1,2.836983085196064,1e-05
regression,forestfires,2,,1e-05
regression,forestfires,3,1.6963953518872108,1e-05
regression,forestfires,4,2.415391100271346,1e-05
regression,forestfires,5,1.8903141650165647,1e-05
